"コード","銘柄名","市場","現在値","前日比(%)","PER(株価収益率)(倍)","PBR(株価純資産倍率)(倍)","ROE(自己資本利益率)(%)","売上高変化率(%)"
"3964","オークネット","東P","2441","+13.0(+0.54%)","12.95","2.25","18.70","29.11"
"4099","四国化成ＨＬＤＧ","東P","1863","-58.0(-3.02%)","9.73","1.00","10.40","10.10"
"4186","東京応化工業","東P","3556.0","-113.0(-3.08%)","18.99","2.13","11.80","23.85"
"4216","旭有機材","東P","3860","-30.0(-0.77%)","6.49","1.03","17.30","13.39"
"4251","恵和","東P","1202","-27.0(-2.20%)","8.30","1.01","12.90","20.26"
"4390","ＩＰＳ","東P","2289","-68.0(-2.89%)","10.17","2.55","27.50","14.34"
"4527","ロート製薬","東P","2170.5","-28.0(-1.27%)","16.01","2.01","13.60","13.48"
"4528","小野薬品工業","東P","1623.0","-12.0(-0.73%)","6.09","0.96","16.70","12.41"
"4552","ＪＣＲファーマ","東P","501","-15.0(-2.91%)","11.35","1.11","10.30","24.83"
"4554","富士製薬工業","東P","1344","-10.0(-0.74%)","5.32","0.72","14.20","12.84"
"4559","ゼリア新薬工業","東P","2111","-8.0(-0.38%)","12.04","1.17","10.70","10.74"
"4578","大塚ＨＬＤＧ","東P","7325.0","-22.0(-0.30%)","11.56","1.44","13.40","15.42"
"4613","関西ペイント","東P","2136.5","-43.5(-2.00%)","7.14","1.44","22.30","10.45"
"4617","中国塗料","東P","2096","-31.0(-1.46%)","10.50","1.47","15.40","16.78"
"4658","日本空調サービス","東P","1002","+7.0(+0.70%)","12.62","1.43","12.10","10.11"
"4681","リゾートトラスト","東P","3093.0","-24.0(-0.77%)","20.62","2.52","12.90","18.83"
"4722","フューチャー","東P","1763","-22.0(-1.23%)","15.13","2.82","19.30","17.79"
"4743","アイティフォー","東P","1304","+22.0(+1.72%)","12.81","1.87","15.40","12.72"
"4763","クリーク・アンド・リバー社","東P","1668","-2.0(-0.12%)","13.80","2.34","18.00","12.87"
"4792","山田コンサルティンググループ","東P","1719","-26.0(-1.49%)","11.45","1.97","18.10","34.81"
"4820","イーエムシステムズ","東P","767","+2.0(+0.26%)","22.21","2.58","11.80","22.02"
"5191","住友理工","東P","1624","-11.0(-0.67%)","9.05","0.86","10.30","13.76"
"5261","リソルＨＬＤＧ","東P","5520","-60.0(-1.08%)","21.72","2.10","10.00","16.57"
"5351","品川リフラクトリーズ","東P","1748","-8.0(-0.46%)","5.32","0.95","20.20","15.37"
"5401","日本製鉄","東P","3329.0","-46.0(-1.36%)","5.58","0.64","12.30","11.19"
"5535","ミガロＨＬＤＧ","東P","1670","-470.0(-21.96%)","21.83","2.35","11.20","14.53"
"5726","大阪チタニウムテクノロジーズ","東P","1716","-52.0(-2.94%)","6.52","1.64","28.10","28.43"
"5857","ＡＲＥＨＬＤＧ","東P","1851","-18.0(-0.96%)","5.79","1.12","21.00","17.52"
"5930","文化シヤッター","東P","1850","+2.0(+0.11%)","11.78","1.27","11.40","10.99"
"5991","ニッパツ","東P","1670.5","-47.5(-2.76%)","9.64","0.91","10.40","10.63"
"6062","チャーム・ケア","東P","1221","-11.0(-0.89%)","9.32","2.13","25.30","26.24"
"6104","芝浦機械","東P","3565","-65.0(-1.79%)","4.81","0.77","17.80","30.40"
"6237","イワキポンプ","東P","2410","-108.0(-4.29%)","11.91","1.60","14.40","18.05"
"6238","フリュー","東P","1021","-14.0(-1.35%)","10.84","1.23","11.90","17.50"
"6266","タツモ","東P","2323","-185.0(-7.38%)","8.01","1.41","19.30","27.36"
