"コード","銘柄名","市場","現在値","前日比(%)","PER(株価収益率)(倍)","PBR(株価純資産倍率)(倍)","ROE(自己資本利益率)(%)","売上高変化率(%)"
"2742","ハローズ","東P","3965","-10.0(-0.25%)","9.86","1.35","14.70","12.26"
"2780","コメ兵ＨＬＤＧ","東S","2922","-103.0(-3.40%)","6.37","1.13","19.20","38.72"
"2788","アップルインターナショナル","東S","399","+0.0(+0.00%)","4.28","0.53","13.30","41.68"
"2789","カルラ","東S","443","-4.0(-0.89%)","6.07","1.55","29.40","13.23"
"2791","大黒天物産","東P","6480","-330.0(-4.85%)","14.32","1.63","12.00","11.49"
"2811","カゴメ","東P","2899.5","-40.5(-1.38%)","10.41","1.46","15.70","36.55"
"2813","和弘食品","東S","4785","-20.0(-0.42%)","10.92","1.57","16.50","14.18"
"2820","やまみ","東S","3300","-100.0(-2.94%)","15.57","2.42","16.60","17.45"
"2875","東洋水産","東P","8890.0","-184.0(-2.03%)","16.31","1.96","13.00","12.21"
"2914","日本たばこ産業","東P","3750.0","+3.0(+0.08%)","14.37","1.64","11.80","10.86"
"2924","イフジ産業","東S","1717","-83.0(-4.61%)","8.87","1.46","17.60","17.29"
"2932","ＳＴＩフードＨＬＤＧ","東S","1215","-6.0(-0.49%)","12.82","2.58","21.30","11.94"
"2938","オカムラ食品工業","東S","2098","-21.0(-0.99%)","16.64","2.39","16.30","12.88"
"2970","グッドライフカンパニー","東S","2931","-55.0(-1.84%)","12.32","2.87","26.50","49.77"
"2975","スター・マイカ・ＨＬＤＧ","東P","900","+16.0(+1.81%)","9.68","1.17","12.80","14.27"
"2981","ランディックス","東G","2770","-46.0(-1.63%)","9.92","1.10","11.50","13.48"
"2986","ＬＡ　ＨＬＤＧ","東G","6670","+80.0(+1.21%)","8.78","2.27","28.60","41.93"
"2991","ランドネット","東S","1143","-21.0(-1.80%)","7.40","1.54","23.00","22.22"
"3003","ヒューリック","東P","1402.0","-2.0(-0.14%)","10.43","1.28","12.80","32.54"
"3020","アプライド","東S","2739","-1.0(-0.04%)","6.12","0.72","12.30","10.91"
"3075","銚子丸","東S","1509","+4.0(+0.27%)","19.26","2.22","12.20","10.62"
"3096","オーシャンシステム","東S","1164","+4.0(+0.34%)","8.19","1.06","13.80","10.54"
"3116","トヨタ紡織","東P","2009.0","-49.0(-2.38%)","6.44","0.80","13.60","21.79"
"3134","Ｈａｍｅｅ","東S","1327","-10.0(-0.75%)","18.84","2.08","11.90","25.46"
"3148","クリエイトＳＤ　ＨＬＤＧ","東P","2807","-12.0(-0.43%)","13.02","1.38","11.10","10.86"
"3180","ビューティガレージ","東P","1390","-10.0(-0.71%)","16.20","2.53","16.70","12.91"
"3181","買取王国","東S","706","+19.0(+2.77%)","7.11","0.93","14.00","14.89"
"3182","オイシックス・ラ・大地","東P","1265","-5.0(-0.39%)","11.22","1.59","15.40","28.85"
"3186","ネクステージ","東P","1487","-33.0(-2.17%)","14.88","1.64","11.50","19.27"
"3221","ヨシックスＨＬＤＧ","東P","2832","-6.0(-0.21%)","16.18","2.91","19.40","23.57"
"3223","エスエルディー","東S","903","-2.0(-0.22%)","9.69","-3.40","56.80","16.02"
"3231","野村不動産ＨＬＤＧ","東P","4274.0","+22.0(+0.52%)","10.90","1.07","10.10","12.22"
"3236","プロパスト","東S","161","-1.0(-0.62%)","3.02","0.52","19.10","16.42"
"3241","ウィル","東S","441","-4.0(-0.90%)","7.12","1.03","15.10","14.38"
"3242","アーバネットコーポレーション","東S","431","-3.0(-0.69%)","7.96","0.92","11.90","38.00"
"3248","アールエイジ","東S","787","-3.0(-0.38%)","4.72","0.55","12.20","37.35"
"3252","地主","東P","2030","-62.0(-2.96%)","6.06","0.94","16.00","80.61"
"3254","プレサンスコーポレーション","東S","2380","+2.0(+0.08%)","7.83","0.85","11.30","12.05"
"3264","アスコット","東S","259","+0.0(+0.00%)","11.13","1.19","11.30","90.87"
"3288","オープンハウスグループ","東P","5490.0","+18.0(+0.33%)","7.02","1.38","21.10","12.83"
"3299","ムゲンエステート","東S","2045","+9.0(+0.44%)","7.88","1.48","20.40","20.42"
"3300","アンビション　ＤＸ　ＨＬＤＧ","東G","1913","-4.0(-0.21%)","8.03","2.17","30.60","16.08"
"3329","東和フードサービス","東S","2052","-67.0(-3.16%)","23.51","2.50","10.60","14.16"
"3347","トラスト","東S","285","-2.0(-0.70%)","6.62","0.77","12.20","19.85"
"3349","コスモス薬品","東P","7043.0","-259.0(-3.55%)","22.82","2.41","11.10","16.59"
"3360","シップヘルスケアＨＬＤＧ","東P","1928.5","-8.5(-0.44%)","13.20","1.30","10.30","10.26"
"3371","ソフトクリエイトＨＬＤＧ","東P","2067","+51.0(+2.53%)","15.91","2.72","19.40","15.08"
"3392","デリカフーズＨＬＤＧ","東S","511","+0.0(+0.00%)","8.20","0.95","12.30","10.22"
"3431","宮地エンジニアリンググループ","東P","1809","-26.0(-1.42%)","11.31","1.24","11.60","15.07"
"3445","ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ","東P","3240","-185.0(-5.40%)","9.04","1.25","15.20","14.08"
"3452","ビーロット","東S","1150","-59.0(-4.88%)","5.62","1.25","24.40","31.57"
"3457","Ａｎｄ　ＤｏＨＬＤＧ","東P","1174","+4.0(+0.34%)","9.41","1.35","15.20","36.38"
"3458","シーアールイー","東P","1697","-1.0(-0.06%)","11.46","1.21","10.90","28.26"
"3475","グッドコムアセット","東P","822","-5.0(-0.60%)","7.13","1.70","26.00","169.28"
"3482","ロードスターキャピタル","東P","2484","-34.0(-1.35%)","5.96","1.60","31.20","19.83"
"3486","グローバル・リンク・マネジメン","東P","3595","+0.0(+0.00%)","8.43","2.48","33.30","56.29"
"3490","アズ企画設計","東S","2410","-10.0(-0.41%)","4.25","1.16","24.90","22.74"
"3539","ＪＭ　ＨＬＤＧ","東P","2332","-14.0(-0.60%)","11.38","1.43","13.20","11.31"
"3540","歯愛メディカル","東S","851","+32.0(+3.91%)","6.79","1.63","27.20","47.92"
"3543","コメダＨＬＤＧ","東P","2721","-18.0(-0.66%)","20.91","2.89","14.30","14.27"
"3549","クスリのアオキＨＬＤＧ","東P","3122.0","-36.0(-1.14%)","24.00","2.52","11.80","15.31"
"3558","ジェイドグループ","東G","1382","-63.0(-4.36%)","15.06","2.39","16.60","27.63"
"3566","ユニフォームネクスト","東G","506","+2.0(+0.40%)","15.57","1.52","10.10","12.62"
"3623","ビリングシステム","東G","1176","-24.0(-2.00%)","18.18","2.61","15.30","11.52"
"3652","ディジタルメディアプロ","東G","1717","-76.0(-4.24%)","16.30","1.56","10.10","29.88"
"3679","じげん","東P","422","-18.0(-4.09%)","11.55","2.26","21.40","24.27"
"3696","セレス","東P","2360","-82.0(-3.36%)","18.30","2.44","14.60","15.11"
"3733","ソフトウェア・サービス","東S","11190","+0.0(+0.00%)","10.98","1.61","15.70","13.95"
"3741","セック","東P","4820","-200.0(-3.98%)","22.22","2.93","13.80","13.96"
"3744","サイオス","東S","367","-3.0(-0.81%)","9.05","2.07","26.80","29.40"
"3760","ケイブ","東S","921","-13.0(-1.39%)","3.83","0.92","34.90","76.27"
"3772","ウェルス・マネジメント","東S","982","-7.0(-0.71%)","10.14","1.01","10.60","93.41"
"3775","ガイアックス","名N","478","-11.0(-2.25%)","8.52","1.93","22.30","24.01"
"3843","フリービット","東P","1537","-1.0(-0.07%)","8.61","2.61","35.90","13.40"
"3848","データ・アプリケーション","東S","838","+3.0(+0.36%)","10.41","1.13","11.50","16.93"
"3900","クラウドワークス","東G","1165","-15.0(-1.27%)","19.98","2.55","14.40","29.54"
"3920","アイビーシー","東S","725","-10.0(-1.36%)","15.93","2.01","13.20","14.93"
"3924","ランドコンピュータ","東P","671","+4.0(+0.60%)","9.76","2.09","23.20","18.60"
"3933","チエル","東S","643","-2.0(-0.31%)","13.71","1.76","13.40","19.52"
"3935","エディア","東S","453","-7.0(-1.52%)","18.50","2.43","14.10","18.71"
"3940","ノムラシステムコーポレーション","東S","122","+0.0(+0.00%)","15.33","1.74","11.60","11.17"
"3962","チェンジＨＬＤＧ","東P","1242","-48.0(-3.72%)","20.78","2.27","11.40","84.88"
"3963","シンクロ・フード","東P","413","+8.0(+1.98%)","15.65","2.58","18.00","22.95"
"3964","オークネット","東P","2441","+13.0(+0.54%)","12.95","2.25","18.70","29.11"
"3967","エルテス","東G","722","-11.0(-1.50%)","16.93","1.67","10.60","39.48"
"3969","エイトレッド","東S","1397","+1.0(+0.07%)","14.65","2.27","16.60","15.42"
"3988","ＳＹＳ　ＨＬＤＧ","東S","539","+2.0(+0.37%)","11.95","1.68","15.00","17.86"
"4012","アクシス","東S","1495","-5.0(-0.33%)","10.54","1.78","18.20","12.97"
"4060","ｒａｋｕｍｏ","東G","810","-8.0(-0.98%)","18.51","2.88","16.90","11.42"
"4076","シイエヌエス","東G","1401","-2.0(-0.14%)","8.83","1.11","13.20","11.15"
"4099","四国化成ＨＬＤＧ","東P","1863","-58.0(-3.02%)","9.73","1.00","10.40","10.10"
"4173","ＷＡＣＵＬ","東G","305","-5.0(-1.61%)","10.85","1.78","18.10","34.66"
"4174","アピリッツ","東S","813","+3.0(+0.37%)","8.62","1.36","17.00","15.09"
"4176","ココナラ","東G","297","-3.0(-1.00%)","29.09","2.90","11.80","40.81"
"4186","東京応化工業","東P","3556.0","-113.0(-3.08%)","18.99","2.13","11.80","23.85"
"4198","テンダ","東S","937","-50.0(-5.07%)","18.00","2.40","14.00","22.20"
"4216","旭有機材","東P","3860","-30.0(-0.77%)","6.49","1.03","17.30","13.39"
"4251","恵和","東P","1202","-27.0(-2.20%)","8.30","1.01","12.90","20.26"
"4261","アジアクエスト","東G","2461","-41.0(-1.64%)","12.24","2.15","19.10","29.35"
"4262","ニフティライフスタイル","東G","1165","-43.0(-3.56%)","11.73","1.40","12.60","18.35"
"4270","ＢｅｅＸ","東G","2757","-29.0(-1.04%)","13.90","2.93","23.60","33.70"
"4316","ビーマップ","東G","350","-11.0(-3.05%)","7.26","1.65","32.30","53.39"
"4335","アイ・ピー・エス","東S","1152","-1.0(-0.09%)","11.59","1.77","16.50","10.51"
"4372","ユミルリンク","東G","1455","+24.0(+1.68%)","11.87","1.96","16.50","15.30"
"4386","ＳＩＧグループ","東S","692","-5.0(-0.72%)","16.35","1.90","12.10","27.47"
"4390","ＩＰＳ","東P","2289","-68.0(-2.89%)","10.17","2.55","27.50","14.34"
"4420","イーソル","東S","592","-19.0(-3.11%)","12.94","2.25","16.80","23.68"
"4429","リックソフト","東G","851","+11.0(+1.31%)","14.38","1.40","10.30","33.22"
"4430","東海ソフト","東S","1480","-30.0(-1.99%)","9.58","1.33","14.70","13.22"
"4437","ｇｏｏｄｄａｙｓ　ＨＬＤＧ","東G","656","+0.0(+0.00%)","14.71","1.64","11.70","16.55"
"4440","ヴィッツ","東S","1039","+9.0(+0.87%)","15.34","1.69","11.60","39.02"
