"コード","銘柄名","市場","現在値","前日比(%)"
"145A","Ｌ　ｉｓ　Ｂ","東G","628","-10.0(-1.57%)"
"1466","ｉＦＪＰＸ４００ダブルインバ","東ETF","604.0","+13.0(+2.20%)"
"1469","ＪＰＸ日経４００ベア２倍","東ETF","591.4","+14.5(+2.51%)"
"146A","コロンビア・ワークス","東S","4035","+5.0(+0.12%)"
"1472","ＮＦ　ＪＰＸ４００ダブルインバ","東ETF","242.0","+8.0(+3.42%)"
"1473","ＤＩＡＭ　ＥＴＦ　トピックス","東ETF","2793.5","+13.0(+0.47%)"
"1474","ＤＩＡＭ　ＪＰＸ日経４００","東ETF","24485.0","-495.0(-1.98%)"
"1475","ｉＳコア　ＴＯＰＩＸ","東ETF","275.0","-5.4(-1.93%)"
"1476","ｉＳコア　Ｊリート","東ETF","1749.0","-9.0(-0.51%)"
"1477","ｉシェアーズＭＳＣＩ最小分散","東ETF","2530.0","-28.0(-1.09%)"
"1478","ｉシェアーズＭＳＣＩ高配当","東ETF","3735.0","-35.0(-0.93%)"
"1479","ｉＦＭＳＣＩ日本株人材設備","東ETF","-","- (-%)"
"147A","ソラコム","東G","922","-29.0(-3.05%)"
"1480","ＮＦ野村企業価値分配指数連動型","東ETF","26200.0","-500.0(-1.87%)"
"1481","上場日本経済貢献株","東ETF","2758.0","+0.0(+0.00%)"
"1482","ｉＳ米国債７―１０年円ヘッジ","東ETF","1665.0","+6.0(+0.36%)"
"1483","ｉＳ　ＪＰＸ／Ｓ＆Ｐ設備・人材","東ETF","-","- (-%)"
"1484","Ｏｎｅ設備人材投資","東ETF","2728.0","-43.0(-1.55%)"
"1485","ＭＸＳ積極投資企業２００上場","東ETF","-","- (-%)"
"1486","上場米国債券（為替ヘッジなし）","東ETF","23250.0","+190.0(+0.82%)"
"1487","上場米国債券（為替ヘッジあり）","東ETF","12820.0","+60.0(+0.47%)"
"1488","ＩＦ上場投信―東証ＲＥＩＴ","東ETF","1774.0","-10.0(-0.56%)"
"1489","ＮＦ日経平均高配当株５０指数","東ETF","2304.0","-16.0(-0.69%)"
"148A","ハッチ・ワーク","東G","1587","-33.0(-2.04%)"
