"コード","銘柄名","市場","現在値","前日比(%)","PER(株価収益率)(倍)","PBR(株価純資産倍率)(倍)","ROE(自己資本利益率)(%)","売上高変化率(%)"
"7687","ミクリード","東G","484","+1.0(+0.21%)","14.29","2.70","20.40","27.16"
"7694","いつも","東G","401","+0.0(+0.00%)","9.04","0.96","11.10","12.61"
"7793","イメージ・マジック","東G","1359","+30.0(+2.26%)","12.31","1.79","15.50","77.46"
"9163","ナレルグループ","東G","2393","-25.0(-1.03%)","9.38","1.55","17.10","20.08"
"9168","ライズ・コンサルティング・グル","東G","630","-17.0(-2.63%)","11.66","2.99","29.60","29.30"
"9204","スカイマーク","東G","540","-9.0(-1.64%)","10.82","1.14","11.60","22.93"
"9211","エフ・コード","東G","1571","-13.0(-0.82%)","20.16","2.86","30.80","106.72"
"9214","Ｒｅｃｏｖｅｒｙ　Ｉｎｔｅｒｎ","東G","1332","-6.0(-0.45%)","12.68","2.59","21.40","27.30"
"9225","ブリッジコンサルティンググルー","東G","1159","-24.0(-2.03%)","13.84","2.24","16.00","21.94"
"9240","デリバリーコンサルティング","東G","405","-4.0(-0.98%)","12.33","1.82","15.50","23.40"
"9252","ラストワンマイル","東G","3075","-30.0(-0.97%)","10.56","2.83","34.40","25.89"
"9345","ビズメイツ","東G","1955","+19.0(+0.98%)","13.55","1.79","14.10","10.81"
"9346","ココルポート","東G","1463","-2.0(-0.14%)","10.03","2.25","25.30","13.12"
"9467","アルファポリス","東G","1141","-34.0(-2.89%)","23.63","2.84","12.80","11.26"
"9558","ジャパニアス","東G","2093","-41.0(-1.92%)","11.53","2.77","24.70","13.41"
