"コード","銘柄名","市場","現在値","前日比(%)"
"1822","大豊建設","東S","3645","-25.0(-0.68%)"
"1826","佐田建設","東S","1124","+1.0(+0.09%)"
"1827","ナカノフドー建設","東S","797","+12.0(+1.53%)"
"1828","田辺工業","東S","1942","-3.0(-0.15%)"
"1840","土屋ＨＬＤＧ","東S","220","-7.0(-3.08%)"
"1841","サンユー建設","東S","1027","-3.0(-0.29%)"
"1844","大盛工業","東S","256","-7.0(-2.66%)"
"1847","イチケン","東S","2790","-17.0(-0.61%)"
"1848","富士ピー・エス","東S","407","+1.0(+0.25%)"
"1850","南海辰村建設","東S","306","-2.0(-0.65%)"
"1853","森組","東S","320","+3.0(+0.95%)"
"1866","北野建設","東S","4195","-60.0(-1.41%)"
"1867","植木組","東S","1694","-8.0(-0.47%)"
"1897","金下建設","東S","2851","+46.0(+1.64%)"
"1904","大成温調","東S","3815","-30.0(-0.78%)"
"1905","テノックス","東S","1156","+2.0(+0.17%)"
"1909","日本ドライケミカル","東S","4265","+45.0(+1.07%)"
"1914","日本基礎技術","東S","686","-9.0(-1.29%)"
"1921","巴コーポレーション","東S","1171","+12.0(+1.04%)"
"1948","弘電社","東S","1986","-28.0(-1.39%)"
"1960","サンテック","東S","820","-5.0(-0.61%)"
"1965","テクノ菱和","東S","3050","-130.0(-4.09%)"
"1966","高田工業所","東S","1375","-45.0(-3.17%)"
"1967","ヤマト","東S","1430","-25.0(-1.72%)"
"1972","三晃金属工業","東S","5950","-40.0(-0.67%)"
"197A","タウンズ","東S","517","-11.0(-2.08%)"
"1981","協和日成","東S","1370","+0.0(+0.00%)"
"1992","神田通信機","東S","2855","+0.0(+0.00%)"
"1994","高橋カーテンウォール工業","東S","498","-2.0(-0.40%)"
"1997","暁飯島工業","東S","2322","-45.0(-1.90%)"
"2003","日東富士製粉","東S","6620","-50.0(-0.75%)"
"2009","鳥越製粉","東S","778","-5.0(-0.64%)"
"2055","日和産業","東S","304","-1.0(-0.33%)"
"208A","構造計画研究所ＨＬＤＧ","東S","2365","-37.0(-1.54%)"
"2107","東洋精糖","東S","2066","+0.0(+0.00%)"
"2112","塩水港精糖","東S","354","-9.0(-2.48%)"
"2114","フジ日本","東S","1030","-4.0(-0.39%)"
"211A","カドス","東S","2602","-68.0(-2.55%)"
"2122","インタースペース","東S","913","+0.0(+0.00%)"
"212A","フィットイージー","東S","1605","-10.0(-0.62%)"
"2134","北浜キャピタルパートナーズ","東S","19","-1.0(-5.00%)"
"2136","ヒップ","東S","1169","-6.0(-0.51%)"
"2138","クルーズ","東S","562","-5.0(-0.88%)"
"2139","中広","東S","443","-2.0(-0.45%)"
"2152","幼児活動研究会","東S","1349","+0.0(+0.00%)"
"2156","セーラー広告","東S","326","-10.0(-2.98%)"
"2162","ｎｍｓ　ＨＬＤＧ","東S","366","-6.0(-1.61%)"
"2169","ＣＤＳ","東S","1779","-8.0(-0.45%)"
"2179","成学社","東S","799","+1.0(+0.13%)"
"2180","サニーサイドアップグループ","東S","527","+2.0(+0.38%)"
"2183","リニカル","東S","332","-2.0(-0.60%)"
"2185","シイエム・シイ","東S","1555","-10.0(-0.64%)"
"2186","ソーバル","東S","908","-8.0(-0.87%)"
"2193","クックパッド","東S","135","-4.0(-2.88%)"
"2196","エスクリ","東S","196","-4.0(-2.00%)"
"2204","中村屋","東S","3180","-20.0(-0.63%)"
"2208","ブルボン","東S","2492","+15.0(+0.61%)"
"220A","Ｆａｂｅｒ　Ｃｏｍｐａｎｙ","東S","1053","+6.0(+0.57%)"
"2215","第一屋製パン","東S","571","-4.0(-0.70%)"
"2216","カンロ","東S","3410","-165.0(-4.62%)"
"2221","岩塚製菓","東S","2820","+70.0(+2.55%)"
"2224","コモ","東S","3260","-15.0(-0.46%)"
"2226","湖池屋","東S","4405","+20.0(+0.46%)"
"2268","Ｂ―Ｒ　サーティワン　アイス","東S","3995","-5.0(-0.13%)"
"2286","林兼産業","東S","503","-3.0(-0.59%)"
"2291","福留ハム","東S","1200","+1.0(+0.08%)"
"2293","滝沢ハム","東S","3020","+20.0(+0.67%)"
"2300","きょくとう","東S","492","+1.0(+0.20%)"
"2303","ドーン","東S","2139","-25.0(-1.16%)"
"2304","ＣＳＳ　ＨＬＤＧ","東S","887","-8.0(-0.89%)"
"2305","スタジオアリス","東S","2015","-13.0(-0.64%)"
"2311","エプコ","東S","711","-7.0(-0.97%)"
"2315","ＣＡＩＣＡ　ＤＩＧＩＴＡＬ","東S","56","-3.0(-5.08%)"
"2323","ｆｏｎｆｕｎ","東S","408","-19.0(-4.45%)"
"2329","東北新社","東S","653","-10.0(-1.51%)"
"2330","フォーサイド","東S","165","-3.0(-1.79%)"
"2332","クエスト","東S","1331","+8.0(+0.60%)"
"2338","クオンタムソリューションズ","東S","610","+7.0(+1.16%)"
"2340","極楽湯ＨＬＤＧ","東S","461","-10.0(-2.12%)"
"2341","アルバイトタイムス","東S","142","-2.0(-1.39%)"
"2344","平安レイサービス","東S","824","-2.0(-0.24%)"
"2345","クシム","東S","164","-2.0(-1.20%)"
"2349","エヌアイデイ","東S","2440","+2.0(+0.08%)"
"2354","ＹＥ　ＤＩＧＩＴＡＬ","東S","594","-16.0(-2.62%)"
"2373","ケア２１","東S","391","+5.0(+1.30%)"
"2375","ギグワークス","東S","268","-6.0(-2.19%)"
"2376","サイネックス","東S","790","+17.0(+2.20%)"
"2391","プラネット","東S","1220","+1.0(+0.08%)"
"2393","日本ケアサプライ","東S","1943","-10.0(-0.51%)"
"2397","ＤＮＡチップ研究所","東S","1094","+2.0(+0.18%)"
"2404","鉄人化ＨＬＤＧ","東S","426","+1.0(+0.24%)"
"2408","ＫＧ情報","東S","606","-12.0(-1.94%)"
"2411","ゲンダイエージェンシー","東S","367","+0.0(+0.00%)"
"2415","ヒューマンＨＬＤＧ","東S","1649","-37.0(-2.19%)"
"2418","ツカダ・グローバルＨＬＤＧ","東S","564","-5.0(-0.88%)"
"2424","ブラス","東S","569","-3.0(-0.52%)"
"2425","ケアサービス","東S","841","+2.0(+0.24%)"
"2428","ウェルネット","東S","741","-10.0(-1.33%)"
"2435","シダー","東S","221","-3.0(-1.34%)"
"2436","共同ピーアール","東S","771","-14.0(-1.78%)"
"2437","Ｓｈｉｎｗａ　Ｗｉｓｅ　ＨＬＤ","東S","318","+31.0(+10.80%)"
"2449","プラップジャパン","東S","903","-14.0(-1.53%)"
"2454","オールアバウト","東S","353","-3.0(-0.84%)"
"2459","アウンコンサルティング","東S","173","-7.0(-3.89%)"
"2464","Ａｏｂａ−ＢＢＴ","東S","318","-1.0(-0.31%)"
"2469","ヒビノ","東S","2843","-72.0(-2.47%)"
"2477","手間いらず","東S","3105","-20.0(-0.64%)"
"2480","システム・ロケーション","東S","1235","+2.0(+0.16%)"
"2481","タウンニュース社","東S","710","-11.0(-1.53%)"
"2483","翻訳センター","東S","1801","-11.0(-0.61%)"
"2484","出前館","東S","210","-5.0(-2.33%)"
"2485","ティア","東S","456","-1.0(-0.22%)"
"2488","ＪＴＰ","東S","1167","-14.0(-1.19%)"
"2493","イーサポートリンク","東S","993","-2.0(-0.20%)"
"2498","オリエンタルコンサルタンツＨＤ","東S","4770","-35.0(-0.73%)"
"2499","日本和装ＨＬＤＧ","東S","311","+3.0(+0.97%)"
"250A","シマダヤ","東S","1503","-45.0(-2.91%)"
"253A","ＥＴＳグループ","東S","647","-7.0(-1.07%)"
"254A","ＡＩ　フュージョンキャピタルグ","東S","1467","+94.0(+6.85%)"
"255A","ジーエルテクノＨＬＤＧ","東S","3025","-60.0(-1.94%)"
"2573","北海道コカ・コーラボトリング","東S","2863","+8.0(+0.28%)"
"2588","プレミアムウォーターＨＬＤＧ","東S","2943","-41.0(-1.37%)"
"2597","ユニカフェ","東S","900","+0.0(+0.00%)"
"2612","かどや製油","東S","3680","-10.0(-0.27%)"
"261A","日水コン","東S","2020","-82.0(-3.90%)"
"2652","まんだらけ","東S","346","-13.0(-3.62%)"
"2653","イオン九州","東S","2466","-44.0(-1.75%)"
"2654","アスモ","東S","344","+1.0(+0.29%)"
"2656","ベクターＨＬＤＧ","東S","89","+0.0(+0.00%)"
"2666","オートウェーブ","東S","132","-2.0(-1.49%)"
"2667","イメージワン","東S","276","-12.0(-4.17%)"
"2668","タビオ","東S","1224","+13.0(+1.07%)"
"2669","カネ美食品","東S","3235","-30.0(-0.92%)"
"2673","夢みつけ隊","東S","100","+1.0(+1.01%)"
"2683","魚喜","東S","1022","-7.0(-0.68%)"
"2686","ジーフット","東S","275","+0.0(+0.00%)"
"2687","シー・ヴイ・エス・ベイエリア","東S","540","-7.0(-1.28%)"
"2689","オルバヘルスケアＨＬＤＧ","東S","2052","-7.0(-0.34%)"
"2693","ＹＫＴ","東S","238","+3.0(+1.28%)"
"2694","焼肉坂井ＨＬＤＧ","東S","72","+0.0(+0.00%)"
"2698","キャンドゥ","東S","3240","-15.0(-0.46%)"
"2700","木徳神糧","東S","6180","-20.0(-0.32%)"
"2702","日本マクドナルドＨＬＤＧ","東S","5690","-40.0(-0.70%)"
"2705","大戸屋ＨＬＤＧ","東S","5190","-40.0(-0.76%)"
"2708","久世","東S","1839","-16.0(-0.86%)"
"2721","ジェイＨＬＤＧ","東S","191","-9.0(-4.50%)"
"2722","ＩＫＨＬＤＧ","東S","367","-1.0(-0.27%)"
"2735","ワッツ","東S","719","-6.0(-0.83%)"
"2736","フェスタリアＨＬＤＧ","東S","543","-10.0(-1.81%)"
"2743","ピクセルカンパニーズ","東S","88","+0.0(+0.00%)"
"2747","北雄ラッキー","東S","3040","+59.0(+1.98%)"
"274A","ガーデン","東S","2594","-107.0(-3.96%)"
"2750","石光商事","東S","900","-5.0(-0.55%)"
"2751","テンポスＨＬＤＧ","東S","3680","-20.0(-0.54%)"
"2762","ＳＡＮＫＯ　ＭＡＲＫＥＴＩＮＧ","東S","101","+0.0(+0.00%)"
"2763","エフティグループ","東S","1153","+1.0(+0.09%)"
"2764","ひらまつ","東S","159","-1.0(-0.63%)"
"2769","ヴィレッジヴァンガードコーポレ","東S","1021","+0.0(+0.00%)"
"2776","新都ＨＬＤＧ","東S","144","-1.0(-0.69%)"
"2778","パレモＨＬＤＧ","東S","135","-3.0(-2.17%)"
"2780","コメ兵ＨＬＤＧ","東S","2922","-103.0(-3.40%)"
"2782","セリア","東S","2597","-24.0(-0.92%)"
"2788","アップルインターナショナル","東S","399","+0.0(+0.00%)"
"2789","カルラ","東S","443","-4.0(-0.89%)"
"2790","ナフコ","東S","1826","-3.0(-0.16%)"
"2795","日本プリメックス","東S","902","+0.0(+0.00%)"
"2796","ファーマライズホールディングス","東S","485","+0.0(+0.00%)"
"2798","ワイズテーブルコーポレーション","東S","2849","+8.0(+0.28%)"
"2805","エスビー食品","東S","5290","+90.0(+1.73%)"
"2806","ユタカフーズ","東S","2302","+17.0(+0.74%)"
"2813","和弘食品","東S","4785","-20.0(-0.42%)"
"2814","佐藤食品工業","東S","2355","+7.0(+0.30%)"
"2816","ダイショー","東S","1414","-4.0(-0.28%)"
"2818","ピエトロ","東S","1762","-3.0(-0.17%)"
"2819","エバラ食品工業","東S","2815","-12.0(-0.42%)"
"2820","やまみ","東S","3300","-100.0(-2.94%)"
"2830","アヲハタ","東S","2545","+8.0(+0.32%)"
"2831","はごろもフーズ","東S","3235","-15.0(-0.46%)"
"2872","セイヒョー","東S","2108","-68.0(-3.13%)"
"2876","デルソーレ","東S","442","-7.0(-1.56%)"
"2877","日東ベスト","東S","773","+2.0(+0.26%)"
"287A","黒田グループ","東S","1072","-35.0(-3.16%)"
"2883","大冷","東S","1909","+2.0(+0.10%)"
"2892","日本食品化工","東S","2630","+0.0(+0.00%)"
"2894","石井食品","東S","314","+0.0(+0.00%)"
"2901","ウェルディッシュ","東S","722","-6.0(-0.82%)"
"2903","シノブフーズ","東S","975","+1.0(+0.10%)"
"2904","一正蒲鉾","東S","734","-1.0(-0.14%)"
"2907","あじかん","東S","1231","-1.0(-0.08%)"
"2911","旭松食品","東S","2339","+22.0(+0.95%)"
"2916","仙波糖化工業","東S","785","+8.0(+1.03%)"
"2917","大森屋","東S","895","+0.0(+0.00%)"
"2923","サトウ食品","東S","6600","-180.0(-2.65%)"
"2924","イフジ産業","東S","1717","-83.0(-4.61%)"
"2926","篠崎屋","東S","81","-2.0(-2.41%)"
"2927","ＡＦＣ―ＨＤアムスライフ","東S","834","-7.0(-0.83%)"
"2932","ＳＴＩフードＨＬＤＧ","東S","1215","-6.0(-0.49%)"
"2938","オカムラ食品工業","東S","2098","-21.0(-0.99%)"
"2961","日本調理機","東S","4000","+5.0(+0.13%)"
"2962","テクニスコ","東S","335","-14.0(-4.01%)"
"2970","グッドライフカンパニー","東S","2931","-55.0(-1.84%)"
"297A","アルピコＨＬＤＧ","東S","248","-3.0(-1.20%)"
"2984","ヤマイチ・ユニハイムエステート","東S","772","-1.0(-0.13%)"
"2991","ランドネット","東S","1143","-21.0(-1.80%)"
"2993","長栄","東S","2080","-15.0(-0.72%)"
"2999","ホームポジション","東S","378","+5.0(+1.34%)"
"3001","片倉工業","東S","2135","+174.0(+8.87%)"
"3004","神栄","東S","1657","-24.0(-1.43%)"
"300A","ＭＩＣ","東S","1494","-53.0(-3.43%)"
"3010","ポラリス・ＨＬＤＧ","東S","216","-3.0(-1.37%)"
"3011","バナーズ","東S","138","-1.0(-0.72%)"
"3020","アプライド","東S","2739","-1.0(-0.04%)"
"3021","パシフィックネット","東S","1231","-11.0(-0.89%)"
"3023","ラサ商事","東S","1501","-16.0(-1.05%)"
"3024","クリエイト","東S","1067","-5.0(-0.47%)"
"3030","ハブ","東S","757","-3.0(-0.39%)"
"3035","ケイティケイ","東S","556","+5.0(+0.91%)"
"3041","ビューティカダンＨＬＤＧ","東S","360","-14.0(-3.74%)"
"3045","カワサキ","東S","1321","-29.0(-2.15%)"
"3053","ペッパーフードサービス","東S","162","-6.0(-3.57%)"
"3054","ハイパー","東S","291","-1.0(-0.34%)"
"3058","三洋堂ＨＬＤＧ","東S","698","+3.0(+0.43%)"
"3059","ヒラキ","東S","905","-2.0(-0.22%)"
"3065","ライフフーズ","東S","1625","-11.0(-0.67%)"
"3067","東京一番フーズ","東S","476","-1.0(-0.21%)"
"3068","ＷＤＩ","東S","3395","-5.0(-0.15%)"
"3069","ＪＦＬＡ　ＨＬＤＧ","東S","153","-3.0(-1.92%)"
"3071","ストリーム","東S","100","+0.0(+0.00%)"
"3075","銚子丸","東S","1509","+4.0(+0.27%)"
"3077","ホリイフードサービス","東S","327","-6.0(-1.80%)"
"3079","ディーブイエックス","東S","956","+7.0(+0.74%)"
"3080","ジェーソン","東S","664","-5.0(-0.75%)"
"3082","きちりＨＬＤＧ","東S","842","-3.0(-0.36%)"
"3083","スターシーズ","東S","581","-29.0(-4.75%)"
"3089","テクノアルファ","東S","864","-10.0(-1.14%)"
"3094","スーパーバリュー","東S","875","-14.0(-1.57%)"
"3096","オーシャンシステム","東S","1164","+4.0(+0.34%)"
"3111","オーミケンシ","東S","299","-6.0(-1.97%)"
"3113","ＵＮＩＶＡ・ＯａｋＨＬＤＧ","東S","79","+0.0(+0.00%)"
"3121","マーチャント・バンカーズ","東S","302","+0.0(+0.00%)"
"3123","サイボー","東S","475","+5.0(+1.06%)"
"3131","シンデン・ハイテックス","東S","2304","-7.0(-0.30%)"
"3134","Ｈａｍｅｅ","東S","1327","-10.0(-0.75%)"
"3143","オーウイル","東S","1801","-9.0(-0.50%)"
"3157","ジオリーブグループ","東S","1120","+2.0(+0.18%)"
"3159","丸善ＣＨＩ　ＨＬＤＧ","東S","327","+0.0(+0.00%)"
"3160","大光","東S","570","+0.0(+0.00%)"
"3161","アゼアス","東S","669","-17.0(-2.48%)"
"3166","ＯＣＨＩ　ＨＬＤＧ","東S","1348","-2.0(-0.15%)"
"3168","ＭＥＲＦ","東S","525","-8.0(-1.50%)"
"3169","ミサワ","東S","620","-3.0(-0.48%)"
"3172","ティーライフ","東S","1088","+0.0(+0.00%)"
"3173","Ｃｏｍｉｎｉｘ","東S","885","-1.0(-0.11%)"
"3174","ハピネス・アンド・ディ","東S","701","+1.0(+0.14%)"
"3175","エー・ピーＨＬＤＧ","東S","980","-4.0(-0.41%)"
"3177","ありがとうサービス","東S","3135","-40.0(-1.26%)"
"3178","チムニー","東S","1263","-6.0(-0.47%)"
"3181","買取王国","東S","706","+19.0(+2.77%)"
"3184","ＩＣＤＡ　ＨＬＤＧ","東S","3260","+0.0(+0.00%)"
"3189","ＡＮＡＰ","東S","502","-37.0(-6.86%)"
"3190","ホットマン","東S","578","-3.0(-0.52%)"
"3192","白鳩","東S","267","-4.0(-1.48%)"
"3202","ダイトウボウ","東S","104","+0.0(+0.00%)"
"3204","トーア紡コーポレーション","東S","390","-4.0(-1.02%)"
"3205","ダイドーリミテッド","東S","1152","+0.0(+0.00%)"
"3222","ユナイテッド・スーパーマーケッ","東S","780","-1.0(-0.13%)"
"3223","エスエルディー","東S","903","-2.0(-0.22%)"
"3236","プロパスト","東S","161","-1.0(-0.62%)"
"3238","セントラル総合開発","東S","459","-7.0(-1.50%)"
"3241","ウィル","東S","441","-4.0(-0.90%)"
"3242","アーバネットコーポレーション","東S","431","-3.0(-0.69%)"
"3246","コーセーアールイー","東S","627","-4.0(-0.63%)"
"3248","アールエイジ","東S","787","-3.0(-0.38%)"
"3254","プレサンスコーポレーション","東S","2380","+2.0(+0.08%)"
"3264","アスコット","東S","259","+0.0(+0.00%)"
"3266","ファンドクリエーショングループ","東S","80","-2.0(-2.44%)"
"3267","フィル・カンパニー","東S","795","-21.0(-2.57%)"
"3271","ＴＨＥグローバル社","東S","706","-10.0(-1.40%)"
"3277","サンセイランディック","東S","984","-6.0(-0.61%)"
"3280","エストラスト","東S","764","-7.0(-0.91%)"
"3293","アズマハウス","東S","750","-5.0(-0.66%)"
"3294","イーグランド","東S","1457","+1.0(+0.07%)"
"3297","東武住販","東S","1224","-1.0(-0.08%)"
"3299","ムゲンエステート","東S","2045","+9.0(+0.44%)"
"3306","日本製麻","東S","579","+1.0(+0.17%)"
"3317","フライングガーデン","東S","2632","-68.0(-2.52%)"
"3320","クロスプラス","東S","944","+1.0(+0.11%)"
"3321","ミタチ産業","東S","1099","-21.0(-1.88%)"
"3323","レカム","東S","67","-2.0(-2.90%)"
"3326","ランシステム","東S","669","+30.0(+4.69%)"
"3329","東和フードサービス","東S","2052","-67.0(-3.16%)"
"3347","トラスト","東S","285","-2.0(-0.70%)"
"3350","メタプラネット","東S","3310","-700.0(-17.46%)"
"3352","バッファロー","東S","1282","+11.0(+0.87%)"
"3353","メディカル一光グループ","東S","2200","-22.0(-0.99%)"
"3355","クリヤマＨＬＤＧ","東S","1280","+30.0(+2.40%)"
"3358","ワイエスフード","東S","85","-2.0(-2.30%)"
"3361","トーエル","東S","797","+7.0(+0.89%)"
"3370","フジタコーポレーション","東S","241","-2.0(-0.82%)"
"3372","関門海","東S","225","+0.0(+0.00%)"
"3374","内外テック","東S","2258","-81.0(-3.46%)"
"3375","ＺＯＡ","東S","1480","-13.0(-0.87%)"
"3377","バイク王＆カンパニー","東S","403","-2.0(-0.49%)"
"3386","コスモ・バイオ","東S","1119","-1.0(-0.09%)"
"3392","デリカフーズＨＬＤＧ","東S","511","+0.0(+0.00%)"
"3396","フェリシモ","東S","752","-5.0(-0.66%)"
"3399","丸千代山岡家","東S","3465","-45.0(-1.28%)"
"3409","北日本紡績","東S","112","+0.0(+0.00%)"
"3417","大木ヘルスケアＨＬＤＧ","東S","857","-11.0(-1.27%)"
"3420","ケー・エフ・シー","東S","1321","-4.0(-0.30%)"
"3421","稲葉製作所","東S","1681","-11.0(-0.65%)"
"3422","Ｊ−ＭＡＸ","東S","317","+0.0(+0.00%)"
"3423","エスイー","東S","275","+0.0(+0.00%)"
"3426","アトムリビンテック","東S","1333","+0.0(+0.00%)"
"3434","アルファＣｏ","東S","1165","+7.0(+0.60%)"
"3435","サンコーテクノ","東S","1195","-10.0(-0.83%)"
"3437","特殊電極","東S","2435","+0.0(+0.00%)"
"3439","三ツ知","東S","640","-1.0(-0.16%)"
"3440","日創プロニティ","東S","879","-7.0(-0.79%)"
"3441","山王","東S","750","-1.0(-0.13%)"
"3444","菊池製作所","東S","283","-18.0(-5.98%)"
"3447","信和","東S","808","-5.0(-0.62%)"
"3449","テクノフレックス","東S","1104","-3.0(-0.27%)"
"3452","ビーロット","東S","1150","-59.0(-4.88%)"
"3454","ファーストブラザーズ","東S","995","+0.0(+0.00%)"
"3467","アグレ都市デザイン","東S","1772","+29.0(+1.66%)"
"3469","デュアルタップ","東S","1135","-10.0(-0.87%)"
"3489","フェイスネットワーク","東S","1842","-23.0(-1.23%)"
"3490","アズ企画設計","東S","2410","-10.0(-0.41%)"
"3494","マリオン","東S","346","-3.0(-0.86%)"
"3495","香陵住販","東S","1652","-42.0(-2.48%)"
"3512","日本フエルト","東S","478","-1.0(-0.21%)"
"3513","イチカワ","東S","1814","-24.0(-1.31%)"
"3521","エコナックＨＬＤＧ","東S","182","+9.0(+5.20%)"
"3524","日東製網","東S","1635","+0.0(+0.00%)"
"3526","芦森工業","東S","3095","+15.0(+0.49%)"
"3529","アツギ","東S","1100","-12.0(-1.08%)"
"3536","アクサスＨＬＤＧ","東S","119","-4.0(-3.25%)"
"3537","昭栄薬品","東S","1800","+40.0(+2.27%)"
"3538","ウイルプラスＨＬＤＧ","東S","983","-18.0(-1.80%)"
"3540","歯愛メディカル","東S","851","+32.0(+3.91%)"
"3544","サツドラＨＬＤＧ","東S","826","-8.0(-0.96%)"
"3547","串カツ田中ＨＬＤＧ","東S","1345","-18.0(-1.32%)"
"3551","ダイニック","東S","792","+2.0(+0.25%)"
"3553","共和レザー","東S","686","-30.0(-4.19%)"
"3559","ピーバンドットコム","東S","554","-81.0(-12.76%)"
"3560","ほぼ日","東S","3195","+100.0(+3.23%)"
"3562","Ｎｏ．１","東S","1729","-51.0(-2.87%)"
"3565","アセンテック","東S","1048","+16.0(+1.55%)"
"3571","ソトー","東S","693","+0.0(+0.00%)"
"3577","東海染工","東S","1003","-5.0(-0.50%)"
"3583","オーベクス","東S","1349","-1.0(-0.07%)"
"3597","自重堂","東S","9560","-110.0(-1.14%)"
"3598","山喜","東S","160","-2.0(-1.23%)"
"3600","フジックス","東S","-","- (-%)"
"3604","川本産業","東S","1195","+0.0(+0.00%)"
"3607","クラウディアＨＬＤＧ","東S","308","-2.0(-0.65%)"
"3611","マツオカコーポレーション","東S","1845","-15.0(-0.81%)"
"3627","テクミラＨＬＤＧ","東S","322","-1.0(-0.31%)"
"3633","ＧＭＯペパボ","東S","1405","-16.0(-1.13%)"
"3634","ソケッツ","東S","585","-5.0(-0.85%)"
"3639","ボルテージ","東S","242","+4.0(+1.68%)"
"3640","電算","東S","1641","-13.0(-0.79%)"
"3641","パピレス","東S","934","-11.0(-1.16%)"
"3647","ジー・スリーＨＬＤＧ","東S","140","-6.0(-4.11%)"
"3648","ＡＧＳ","東S","869","-1.0(-0.11%)"
"3666","テクノスジャパン","東S","1149","+0.0(+0.00%)"
"3667","ｅｎｉｓｈ","東S","125","-5.0(-3.85%)"
"3670","協立情報通信","東S","1747","+2.0(+0.11%)"
"3672","オルトプラス","東S","58","-1.0(-1.69%)"
"3682","エンカレッジ・テクノロジ","東S","599","-6.0(-0.99%)"
"3683","サイバーリンクス","東S","1150","-49.0(-4.09%)"
"3686","ディー・エル・イー","東S","127","-3.0(-2.31%)"
"3710","ジョルダン","東S","602","-11.0(-1.79%)"
"3712","情報企画","東S","4450","-45.0(-1.00%)"
"3719","ジェクシード","東S","218","-3.0(-1.36%)"
"3726","フォーシーズＨＤ","東S","728","-8.0(-1.09%)"
"3733","ソフトウェア・サービス","東S","11190","+0.0(+0.00%)"
"3744","サイオス","東S","367","-3.0(-0.81%)"
"3747","インタートレード","東S","306","-9.0(-2.86%)"
"3750","サイトリ細胞研究所","東S","906","+1.0(+0.11%)"
"3753","フライトソリューションズ","東S","165","-5.0(-2.94%)"
"3758","アエリア","東S","251","-1.0(-0.40%)"
"3760","ケイブ","東S","921","-13.0(-1.39%)"
"3766","システムズ・デザイン","東S","1031","+5.0(+0.49%)"
"3768","リスクモンスター","東S","395","-5.0(-1.25%)"
"3770","ザッパラス","東S","347","-1.0(-0.29%)"
"3772","ウェルス・マネジメント","東S","982","-7.0(-0.71%)"
"3776","ブロードバンドタワー","東S","150","-4.0(-2.60%)"
"3779","ジェイ・エスコムＨＬＤＧ","東S","147","-5.0(-3.29%)"
"3787","テクノマセマティカル","東S","549","-4.0(-0.72%)"
"3791","ＩＧポート","東S","2277","+21.0(+0.93%)"
"3796","いい生活","東S","494","-4.0(-0.80%)"
"3798","ＵＬＳグループ","東S","4860","-100.0(-2.02%)"
